Date : 2021-04-28 17:23:29
Directory : c:\Users\davidp\Documents\GitHub\KZStats
Total : 71 files,  2833 codes, 192 comments, 286 blanks, all 3311 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\main.dart                                                 | Dart       |         30 |          1 |          6 |         37 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\others\emptyListNull.dart                                 | Dart       |          3 |          0 |          1 |          4 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\others\modifyDate.dart                                    | Dart       |          6 |          0 |          1 |          7 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\others\pointsClassification.dart                          | Dart       |         29 |          0 |          2 |         31 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\others\strCheckLen.dart                                   | Dart       |          3 |          0 |          1 |          4 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\others\svg.dart                                           | Dart       |         17 |          0 |          4 |         21 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\others\test.dart                                          | Dart       |          0 |          0 |          2 |          2 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\others\tierIdentifier.dart                                | Dart       |         20 |          0 |          6 |         26 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\others\timeConversion.dart                                | Dart       |         36 |          2 |          7 |         45 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\about.dart                                          | Dart       |         13 |          0 |          3 |         16 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\bans.dart                                           | Dart       |         11 |          0 |          3 |         14 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\details\map_detail.dart                             | Dart       |        158 |          4 |          8 |        170 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\details\player_detail.dart                          | Dart       |        179 |          4 |          8 |        191 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\homepage.dart                                       | Dart       |        269 |         10 |          8 |        287 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\jumpstats.dart                                      | Dart       |         11 |          0 |          3 |         14 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\loginPage.dart                                      | Dart       |          8 |          0 |          3 |         11 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\maps.dart                                           | Dart       |         11 |          0 |          3 |         14 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\players.dart                                        | Dart       |         11 |          0 |          3 |         14 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\profile.dart                                        | Dart       |         11 |          0 |          3 |         14 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\settings.dart                                       | Dart       |         47 |          0 |          5 |         52 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\router.dart                                               | Dart       |         60 |          1 |          3 |         64 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\theme\colors.dart                                         | Dart       |          9 |          0 |          2 |         11 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\toggleButton.dart                                         | Dart       |         47 |          3 |          6 |         56 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\web\future\kzstatsApiPlayerNation.dart                    | Dart       |         24 |          1 |          2 |         27 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\web\getRequest.dart                                       | Dart       |         21 |          2 |          3 |         26 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json.dart                                             | Dart       |          5 |          0 |          1 |          6 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json\kzstatsApiPlayer_json.dart                       | Dart       |         61 |          3 |          6 |         70 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json\mapinfo_json.dart                                | Dart       |         38 |          3 |          6 |         47 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json\record_json.dart                                 | Dart       |         66 |          3 |          6 |         75 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json\steamplayer_json.dart                            | Dart       |         81 |          0 |         11 |         92 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json\wr_json.dart                                     | Dart       |        101 |          3 |          7 |        111 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\web\steamLogin.dart                                       | Dart       |          0 |         27 |          1 |         28 |
| c:\Users\davidp\Documents\GitHub\KZStats\lib\web\urls.dart                                             | Dart       |         59 |          6 |          7 |         72 |
| c:\Users\davidp\Documents\GitHub\KZStats\pubspec.yaml                                                  | YAML       |         34 |         35 |         11 |         80 |
| c:\Users\davidp\Documents\GitHub\KZStats\test\widget_test.dart                                         | Dart       |         14 |         10 |          7 |         31 |
| c:\Users\davidp\Documents\GitHub\KZStats\web\index.html                                                | HTML       |         26 |         15 |          5 |         46 |
| c:\Users\davidp\Documents\GitHub\KZStats\web\manifest.json                                             | JSON       |         23 |          0 |          1 |         24 |
| Total                                                                                                  |            |      2,833 |        192 |        286 |      3,311 |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
